track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1n1cWsF9EWRz7b6vRGdVhR,0.706,0.357,-12.751,0.0586,0.463,0.85,0.115,0.034,136.097,168742
6WCtXWBfZreaM2UctYpD8J,0.502,0.994,-6.525,0.0404,5.16e-05,0.947,0.0659,0.974,145.009,193827
4tzgD4qNhChrg4DyMV5XdP,0.344,0.43,-8.174,0.0336,0.611,9.3e-05,0.0986,0.177,140.013,64199
3eirn9Sbdx3t5xO1rstzAM,0.555,0.674,-6.431,0.0311,0.222,0.000611,0.418,0.319,140.037,176309
3D4T4fWbyORAOMxjdDZmxB,0.67,0.629,-6.867,0.0366,0.0781,0.000101,0.0386,0.832,145.002,231244
26V5CtAeEEy85Xiar52rgx,0.49,0.478,-8.657,0.0305,0.476,0.0016,0.128,0.392,129.724,252057
3Do20PSdcKe6iSF4DaAIk9,0.641,0.763,-6.686,0.0623,0.198,7.04e-05,0.153,0.684,128.21,221997
1cLM3jAuF1oEdVzGQOQgSV,0.645,0.642,-7.23,0.0285,0.625,0.834,0.299,0.563,130.017,195550
1tWVKiWP6XCbfkNqQGj1qV,0.511,0.301,-9.353,0.0287,0.721,0.0119,0.132,0.162,128.969,238113
4SbUeYvZq2yqrdmjXLbGI7,0.401,0.527,-9.046,0.0287,0.344,0.628,0.364,0.482,107.743,138853
